16 23
(0,20,17,0)
(0,16,19,20)
(0,1,9,16)
(0,9,2,1)
(0,13,22,9)
(0,13,5,13)
(0,14,1,13)
(0,1,13,14)
(0,12,9,1)
(0,14,22,12)
(0,1,5,14)
(0,4,7,1)
(0,16,11,4)
(0,15,22,16)
(0,12,1,15)
(0,0,5,12)
(17,6,16,0)
(19,11,13,6)
(9,22,22,11)
(2,21,12,22)
(22,10,11,21)
(5,5,18,10)
(1,11,4,5)
(13,16,13,11)
(9,10,15,16)
(22,3,6,10)
(5,14,18,3)
(7,11,15,14)
(11,2,1,11)
(22,6,1,2)
(1,19,10,6)
(5,0,6,19)
(16,8,19,0)
(13,15,14,8)
(22,19,19,15)
(12,22,16,19)
(11,13,20,22)
(18,21,7,13)
(4,3,21,21)
(13,3,22,3)
(15,7,1,3)
(6,4,18,7)
(18,15,2,4)
(15,13,12,15)
(1,21,4,13)
(1,9,12,21)
(10,13,5,9)
(6,0,5,13)
(19,20,9,0)
(14,6,10,20)
(19,20,11,6)
(16,5,15,20)
(20,4,4,5)
(7,6,2,4)
(21,17,11,6)
(22,21,12,17)
(1,21,19,21)
(18,22,8,21)
(2,5,15,22)
(12,5,13,5)
(4,10,11,5)
(12,18,18,10)
(5,6,9,18)
(5,0,9,6)
(9,4,7,0)
(10,3,2,4)
(11,8,16,3)
(15,6,7,8)
(4,17,5,6)
(2,19,18,17)
(11,18,2,19)
(12,11,15,18)
(19,4,2,11)
(8,12,1,4)
(15,21,20,12)
(13,10,11,21)
(11,20,18,10)
(18,3,11,20)
(9,14,18,3)
(9,0,4,14)
(7,1,10,0)
(2,4,19,1)
(16,14,9,4)
(7,19,18,14)
(5,17,10,19)
(18,15,8,17)
(2,18,19,15)
(15,6,9,18)
(2,4,2,6)
(1,17,19,4)
(20,5,15,17)
(11,4,5,5)
(18,2,7,4)
(11,20,17,2)
(18,15,8,20)
(4,0,5,15)
(10,17,10,0)
(19,21,3,17)
(9,15,3,21)
(18,2,20,15)
(10,13,21,2)
(8,8,5,13)
(19,3,19,8)
(9,9,9,3)
(2,1,6,9)
(19,10,7,1)
(15,10,13,10)
(5,12,6,10)
(7,20,9,12)
(17,8,4,20)
(8,16,8,8)
(5,0,10,16)
(10,11,20,0)
(3,6,3,11)
(3,18,1,6)
(20,6,15,18)
(21,15,5,6)
(5,2,17,15)
(19,8,12,2)
(9,22,22,8)
(6,16,16,22)
(7,22,19,16)
(13,21,22,22)
(6,14,15,21)
(9,7,19,14)
(4,1,2,7)
(8,9,9,1)
(10,0,22,9)
(20,21,6,0)
(3,18,3,21)
(1,13,12,18)
(15,21,9,13)
(5,3,10,21)
(17,18,9,3)
(12,8,9,18)
(22,9,7,8)
(16,17,7,9)
(19,1,3,17)
(22,20,14,1)
(15,21,14,20)
(19,21,10,21)
(2,12,7,21)
(9,8,7,12)
(22,0,10,8)
(6,18,3,0)
(3,9,3,18)
(12,16,6,9)
(9,18,11,16)
(10,19,21,18)
(9,6,1,19)
(9,3,20,6)
(7,4,12,3)
(7,6,14,4)
(3,20,11,6)
(14,5,19,20)
(14,12,21,5)
(10,1,14,12)
(7,17,3,1)
(7,13,4,17)
(10,0,20,13)
(3,1,17,0)
(3,4,15,1)
(6,12,7,4)
(11,1,21,12)
(21,18,22,1)
(1,22,14,18)
(20,6,10,22)
(12,9,3,6)
(14,11,2,9)
(11,10,12,11)
(19,18,20,10)
(21,14,12,18)
(14,13,14,14)
(3,2,13,13)
(4,18,3,2)
(20,0,15,18)
(17,13,7,0)
(15,10,11,13)
(7,11,19,10)
(21,17,3,11)
(22,2,6,17)
(14,9,13,2)
(10,18,20,9)
(3,16,8,18)
(2,3,15,16)
(12,4,15,3)
(20,7,17,4)
(12,15,18,7)
(14,8,11,15)
(13,4,8,8)
(3,9,7,4)
(15,0,21,9)
(7,17,3,0)
(11,22,12,17)
(19,7,14,22)
(3,10,10,7)
(6,10,14,10)
(13,5,6,10)
(20,13,1,5)
(8,7,8,13)
(15,16,9,7)
(15,15,5,16)
(17,17,7,15)
(18,4,12,17)
(11,14,12,4)
(8,16,19,14)
(7,2,20,16)
(21,0,10,2)
(3,11,2,0)
(12,16,16,11)
(14,4,20,16)
(10,6,13,4)
(14,11,7,6)
(6,11,16,11)
(1,19,21,11)
(8,11,8,19)
(9,3,22,11)
(5,14,8,3)
(7,6,8,14)
(12,2,8,6)
(12,6,14,2)
(19,12,14,6)
(20,2,2,12)
(10,0,9,2)
(2,14,8,0)
(16,10,3,14)
(20,7,17,10)
(13,9,5,7)
(7,2,13,9)
(16,9,20,2)
(21,16,1,9)
(8,4,22,16)
(22,8,21,4)
(8,20,16,8)
(8,16,1,20)
(8,13,11,16)
(14,17,22,13)
(14,3,21,17)
(2,20,5,3)
(9,0,17,20)
(8,12,0,0)
(3,11,0,12)
(17,19,0,11)
(5,11,0,19)
(13,17,0,11)
(20,16,0,17)
(1,22,0,16)
(22,22,0,22)
(21,19,0,22)
(16,17,0,19)
(1,5,0,17)
(11,9,0,5)
(22,17,0,9)
(21,16,0,17)
(5,11,0,16)
(17,0,0,11)
